寿,1565
鋳,1566
籍,1567
春,1568
椿,1569
泰,1570
奏,1571
実,1572
奉,1573
俸,1574
棒,1575
詐,1141
作,1142
雪,1143
録,1144
尋,1145
急,1146
穏,1147
侵,1148
浸,1149
寝,1150
婦,1151
掃,1152
当,1153
争,1154
浄,1155
縮,1336
繁,1337
縦,1338
線,1339
締,1340
維,1341
羅,1342
練,1343
緒,1344
続,1345
絵,1346
統,1347
絞,1348
給,1349
絡,1350
玉,256
宝,257
珠,258
現,259
狂,260
皇,261
呈,262
全,263
栓,264
理,265
主,266
注,267
柱,268
金,269
銑,270
隊,1306
墜,1307
但,953
降,1308
階,1309
陛,1310
隣,1311
隠,1313
隔,1312
陥,1315
堕,1314
空,1317
穴,1316
突,1319
控,1318
貴,1786
究,1320
遣,1788
遺,1787
無,1790
舞,1789
粗,1792
組,1791
祖,1794
租,1793
査,1796
阻,1795
宜,1798
助,1797
並,1800
畳,1799
賓,511
歳,512
県,513
栃,514
地,515
池,516
虫,517
蛍,518
虹,520
蛇,519
独,522
蝶,521
風,524
蚕,523
己,525
票,1606
漂,1607
栗,1609
遷,1610
覆,1611
南,1613
標,1608
楠,1614
献,1615
門,1616
問,1617
閲,1618
閥,1619
間,1620
殖,811
列,812
裂,813
烈,814
死,815
葬,816
瞬,817
耳,818
取,819
趣,820
最,821
撮,822
恥,823
職,824
聖,825
起,526
妃,527
改,528
記,529
包,530
胞,531
砲,532
泡,533
亀,534
電,535
竜,536
滝,537
豚,538
逐,539
遂,540
煙,1612
興,1426
酉,1427
酒,1428
酌,1429
酵,1430
酷,1431
酬,1432
酪,1433
酢,1434
酔,1435
配,1436
酸,1437
猶,1438
尊,1439
豆,1440
脅,871
協,872
行,873
律,874
復,875
得,876
従,877
徒,878
待,879
往,880
征,881
径,882
彼,883
役,884
徳,885
巨,856
拒,857
力,858
男,859
募,861
劣,862
勧,864
努,865
励,866
加,867
賀,868
架,869
脇,870
林,196
森,197
桂,198
柏,199
枠,200
梢,201
棚,202
杏,203
桐,204
植,205
枯,206
朴,207
村,208
相,209
机,210
功,863
労,860
較,1277
校,1278
足,1279
促,1280
距,1281
路,1282
露,1283
跳,1284
躍,1285
践,1286
踏,1287
骨,1288
滑,1289
髄,1290
区,1696
枢,1697
殴,1698
欧,1699
抑,1700
仰,1701
迎,1702
登,1703
澄,1704
発,1705
廃,1706
僚,1707
寮,1708
療,1709
彫,1710
英,1756
映,1757
赦,1759
変,1760
跡,1761
蛮,1762
恋,1763
湾,1764
黄,1765
横,1766
把,1767
色,1768
絶,1769
艶,1770
唯,556
焦,557
礁,558
集,559
准,560
進,561
雑,562
雌,563
準,564
奮,565
奪,566
確,567
午,568
許,569
歓,570
赤,1758
効,1276
運,303
軍,301
冠,304
夢,305
坑,306
高,307
享,308
塾,309
熟,310
亭,311
京,312
涼,313
景,314
鯨,315
渇,451
謁,452
褐,453
喝,454
旨,455
脂,456
壱,457
毎,458
敏,459
梅,460
海,461
乾,463
腹,464
複,465
都,1846
郵,1847
邦,1848
乞,462
郷,1849
輝,302
郎,1851
廊,1852
盾,1853
循,1854
派,1855
脈,1856
衆,1857
逓,1858
鍛,1860
段,1859
響,1850
帆,406
幅,407
幌,410
錦,411
帽,408
市,412
姉,413
帯,415
滞,416
幕,409
刺,417
肺,414
制,418
製,419
転,420
芸,421
雨,422
雲,423
曇,424
雷,425
霜,426
冬,427
天,428
橋,429
嬌,430
立,431
泣,432
章,433
競,434
帝,435
対,1741
紋,1742
蚊,1743
斉,1744
剤,1745
済,1746
粛,1748
塁,1749
楽,1750
薬,1751
率,1752
渋,1753
摂,1754
央,1755
斎,1747
器,121
臭,122
妙,123
省,124
厚,125
奇,126
川,127
州,128
順,129
水,130
氷,131
永,132
泉,133
原,134
願,135
借,1186
惜,1187
措,1188
廿,1190
庶,1191
遮,1192
席,1193
度,1194
渡,1195
奔,1196
噴,1197
墳,1198
憤,1199
焼,1200
散,1189
娘,1471
食,1472
飯,1473
飲,1474
飢,1475
餓,1476
飾,1477
館,1478
養,1479
飽,1480
既,1481
概,1482
慨,1483
平,1484
呼,1485
幾,1381
機,1382
玄,1383
畜,1384
弦,1386
擁,1387
滋,1388
慈,1389
磁,1390
系,1391
係,1392
孫,1393
懸,1394
却,1395
熱,1516
菱,1517
陵,1518
亥,1519
核,1520
刻,1521
該,1522
劾,1523
述,1524
術,1525
寒,1526
醸,1527
譲,1528
壌,1529
嬢,1530
蓄,1385
古,16
吾,17
朋,19
明,20
唱,21
晶,22
品,23
昌,25
呂,24
旭,27
世,28
早,26
冒,18
暴,1801
旦,30
恭,1803
胃,29
選,1804
井,1806
殿,1805
囲,1807
亜,1809
悪,1810
耕,1808
円,1811
触,1813
角,1812
再,1815
爆,1802
解,1814
便,991
倍,992
優,993
伐,994
宿,995
傷,996
保,997
褒,998
傑,999
付,1000
府,1002
符,1001
任,1003
賃,1004
代,1005
易,1051
賜,1052
尿,1053
尼,1054
泥,1055
塀,1056
握,1059
屈,1060
履,1057
屋,1058
掘,1061
堀,1062
居,1063
据,1064
層,1065
坪,1486
評,1487
胸,1491
離,1492
殺,1493
純,1494
鈍,1495
辛,1496
辞,1497
梓,1498
刈,1488
希,1489
壁,1500
宰,1499
凶,1490
局,1066
遅,1067
刷,1069
沢,1072
